timestamp,region,service_type,usage_units,provisioned_capacity,utilization_pct,headroom_units,unit_price,cost_usd,wasted_capacity_cost,availability_pct,sla_violation_flag,incident_count,mttr_minutes,daily_growth_rate,weekly_seasonality_index,spike_flag,gdp_growth_rate,it_spending_index,enterprise_demand_index,internet_traffic_growth
2022-01-01,East US,Compute,4332.61,9344.21,0.464,5011.6,0.5,2166.3,2505.8,99.95,0,0,0,0.0,0.922,0,0.0302,100.0,110.0,0.0507
2022-01-02,East US,Compute,4550.79,9344.21,0.487,4793.42,0.5,2275.4,2396.71,99.95,0,0,0,0.0002,0.937,0,0.0303,100.02,110.0,0.0514
2022-01-03,East US,Compute,4986.74,9344.21,0.534,4357.46,0.5,2493.37,2178.73,99.95,0,0,0,0.0002,1.0,0,0.0305,100.05,110.0,0.0521
2022-01-04,East US,Compute,5007.4,9344.21,0.536,4336.8,0.5,2503.7,2168.4,99.95,0,0,0,0.0002,1.063,0,0.0307,100.07,110.01,0.0528
2022-01-05,East US,Compute,5130.49,9344.21,0.549,4213.72,0.5,2565.24,2106.86,99.95,0,0,0,0.0002,1.078,0,0.0309,100.09,110.01,0.0535
2022-01-06,East US,Compute,4791.69,9344.21,0.513,4552.52,0.5,2395.84,2276.26,99.95,0,0,0,0.0002,1.035,0,0.031,100.11,110.01,0.0542
2022-01-07,East US,Compute,4372.37,9344.21,0.468,4971.84,0.5,2186.18,2485.92,99.95,0,0,0,0.0002,0.965,0,0.0312,100.14,110.01,0.0548
2022-01-08,East US,Compute,4336.21,9344.21,0.464,5008.0,0.5,2168.1,2504.0,99.95,0,0,0,0.0002,0.922,0,0.0314,100.16,110.01,0.0555
2022-01-09,East US,Compute,4818.9,9344.21,0.516,4525.31,0.5,2409.45,2262.66,99.95,0,0,0,0.0002,0.937,0,0.0315,100.18,110.01,0.0562
2022-01-10,East US,Compute,5018.19,9344.21,0.537,4326.01,0.5,2509.1,2163.01,99.95,0,0,0,0.0002,1.0,0,0.0317,100.21,110.02,0.0568
2022-01-11,East US,Compute,5499.25,9344.21,0.589,3844.95,0.5,2749.63,1922.48,99.95,0,0,0,0.0002,1.063,0,0.0319,100.23,110.02,0.0575
2022-01-12,East US,Compute,5374.76,9344.21,0.575,3969.45,0.5,2687.38,1984.72,99.95,0,0,0,0.0002,1.078,0,0.0321,100.25,110.02,0.0581
2022-01-13,East US,Compute,5103.39,9344.21,0.546,4240.81,0.5,2551.7,2120.41,99.95,0,0,0,0.0002,1.035,0,0.0322,100.27,110.02,0.0588
2022-01-14,East US,Compute,4722.02,9344.21,0.505,4622.19,0.5,2361.01,2311.09,99.95,0,0,0,0.0002,0.965,0,0.0324,100.3,110.02,0.0594
2022-01-15,East US,Compute,4266.2,9344.21,0.457,5078.0,0.5,2133.1,2539.0,99.95,0,0,0,0.0002,0.922,0,0.0326,100.32,110.02,0.06
2022-01-16,East US,Compute,4729.46,9344.21,0.506,4614.75,0.5,2364.73,2307.37,99.95,0,0,0,0.0002,0.937,0,0.0327,100.34,110.03,0.0606
2022-01-17,East US,Compute,4753.84,9344.21,0.509,4590.37,0.5,2376.92,2295.18,99.95,0,0,0,0.0002,1.0,0,0.0329,100.37,110.03,0.0612
2022-01-18,East US,Compute,5404.97,9344.21,0.578,3939.24,0.5,2702.48,1969.62,99.95,0,0,0,0.0002,1.063,0,0.033,100.39,110.03,0.0618
2022-01-19,East US,Compute,4962.93,9344.21,0.531,4381.27,0.5,2481.47,2190.64,99.95,0,0,0,0.0002,1.078,0,0.0332,100.41,110.03,0.0623
2022-01-20,East US,Compute,4853.35,9344.21,0.519,4490.86,0.5,2426.67,2245.43,99.95,0,0,0,0.0002,1.035,0,0.0334,100.43,110.03,0.0629
2022-01-21,East US,Compute,4483.76,9344.21,0.48,4860.44,0.5,2241.88,2430.22,99.95,0,0,0,0.0002,0.965,0,0.0335,100.46,110.03,0.0634
2022-01-22,East US,Compute,4399.65,9344.21,0.471,4944.56,0.5,2199.82,2472.28,99.95,0,0,0,0.0002,0.922,0,0.0337,100.48,110.04,0.0639
2022-01-23,East US,Compute,4753.06,9344.21,0.509,4591.15,0.5,2376.53,2295.57,99.95,0,0,0,0.0002,0.937,0,0.0339,100.5,110.04,0.0644
2022-01-24,East US,Compute,5252.59,9344.21,0.562,4091.61,0.5,2626.3,2045.81,99.95,0,0,0,0.0002,1.0,0,0.034,100.53,110.04,0.0649
2022-01-25,East US,Compute,4945.86,9344.21,0.529,4398.34,0.5,2472.93,2199.17,99.95,0,0,0,0.0002,1.063,0,0.0342,100.55,110.04,0.0653
2022-01-26,East US,Compute,5443.19,9344.21,0.583,3901.01,0.5,2721.6,1950.51,99.95,0,0,0,0.0002,1.078,0,0.0343,100.57,110.04,0.0658
2022-01-27,East US,Compute,5129.75,9344.21,0.549,4214.46,0.5,2564.88,2107.23,99.95,0,0,0,0.0002,1.035,0,0.0345,100.59,110.05,0.0662
2022-01-28,East US,Compute,5049.16,9344.21,0.54,4295.04,0.5,2524.58,2147.52,99.95,0,0,0,0.0002,0.965,0,0.0346,100.62,110.05,0.0666
2022-01-29,East US,Compute,4444.07,9344.21,0.476,4900.13,0.5,2222.04,2450.07,99.95,0,0,0,0.0002,0.922,0,0.0348,100.64,110.05,0.067
2022-01-30,East US,Compute,4328.89,9344.21,0.463,5015.32,0.5,2164.44,2507.66,99.95,0,0,0,0.0002,0.937,0,0.0349,100.66,110.05,0.0673
2022-01-31,East US,Compute,4815.22,9344.21,0.515,4528.99,0.5,2407.61,2264.49,99.95,0,0,0,0.0002,1.0,0,0.0351,100.68,110.05,0.0677
2022-02-01,East US,Compute,4922.26,9344.21,0.527,4421.94,0.5,2461.13,2210.97,99.95,0,0,0,0.0002,1.063,0,0.0352,100.71,110.05,0.068
2022-02-02,East US,Compute,5774.32,9344.21,0.618,3569.88,0.5,2887.16,1784.94,99.95,0,0,0,0.0002,1.078,0,0.0354,100.73,110.06,0.0683
2022-02-03,East US,Compute,5306.47,9344.21,0.568,4037.74,0.5,2653.23,2018.87,99.95,0,0,0,0.0002,1.035,0,0.0355,100.75,110.06,0.0685
2022-02-04,East US,Compute,4621.52,9344.21,0.495,4722.69,0.5,2310.76,2361.34,99.457,1,1,46,0.0002,0.965,0,0.0357,100.78,110.06,0.0688
2022-02-05,East US,Compute,5026.9,9344.21,0.538,4317.31,0.5,2513.45,2158.65,99.95,0,0,0,0.0002,0.922,0,0.0358,100.8,110.06,0.069
2022-02-06,East US,Compute,4690.34,9344.21,0.502,4653.87,0.5,2345.17,2326.93,99.95,0,0,0,0.0002,0.937,0,0.0359,100.82,110.06,0.0692
2022-02-07,East US,Compute,4891.48,9344.21,0.523,4452.72,0.5,2445.74,2226.36,99.95,0,0,0,0.0002,1.0,0,0.0361,100.84,110.06,0.0694
2022-02-08,East US,Compute,5147.36,9344.21,0.551,4196.85,0.5,2573.68,2098.42,99.95,0,0,0,0.0002,1.063,0,0.0362,100.87,110.07,0.0696
2022-02-09,East US,Compute,5327.91,9344.21,0.57,4016.29,0.5,2663.96,2008.15,99.95,0,0,0,0.0002,1.078,0,0.0364,100.89,110.07,0.0697
2022-02-10,East US,Compute,4928.37,9344.21,0.527,4415.84,0.5,2464.18,2207.92,99.95,0,0,0,0.0002,1.035,0,0.0365,100.91,110.07,0.0698
2022-02-11,East US,Compute,4839.04,9344.21,0.518,4505.16,0.5,2419.52,2252.58,99.95,0,0,0,0.0002,0.965,0,0.0366,100.94,110.07,0.0699
2022-02-12,East US,Compute,4500.81,9344.21,0.482,4843.4,0.5,2250.4,2421.7,99.95,0,0,0,0.0002,0.922,0,0.0367,100.96,110.07,0.07
2022-02-13,East US,Compute,4538.62,9344.21,0.486,4805.59,0.5,2269.31,2402.8,99.95,0,0,0,0.0002,0.937,0,0.0369,100.98,110.07,0.07
2022-02-14,East US,Compute,5113.12,9344.21,0.547,4231.08,0.5,2556.56,2115.54,99.95,0,0,0,0.0002,1.0,0,0.037,101.0,110.08,0.07
2022-02-15,East US,Compute,5051.24,9344.21,0.541,4292.96,0.5,2525.62,2146.48,99.95,0,0,0,0.0002,1.063,0,0.0371,101.03,110.08,0.07
2022-02-16,East US,Compute,5272.03,9344.21,0.564,4072.17,0.5,2636.02,2036.09,99.95,0,0,0,0.0002,1.078,0,0.0372,101.05,110.08,0.07
2022-02-17,East US,Compute,4996.74,9344.21,0.535,4347.47,0.5,2498.37,2173.73,99.95,0,0,0,0.0002,1.035,0,0.0374,101.07,110.08,0.0699
2022-02-18,East US,Compute,4720.51,9344.21,0.505,4623.7,0.5,2360.25,2311.85,99.95,0,0,0,0.0002,0.965,0,0.0375,101.1,110.08,0.0698
2022-02-19,East US,Compute,4422.28,9344.21,0.473,4921.93,0.5,2211.14,2460.96,99.318,1,1,31,0.0002,0.922,0,0.0376,101.12,110.09,0.0697
2022-02-20,East US,Compute,4147.54,9344.21,0.444,5196.66,0.5,2073.77,2598.33,99.95,0,0,0,0.0002,0.937,0,0.0377,101.14,110.09,0.0696
2022-02-21,East US,Compute,4740.15,9344.21,0.507,4604.05,0.5,2370.08,2302.03,99.95,0,0,0,0.0002,1.0,0,0.0378,101.16,110.09,0.0694
2022-02-22,East US,Compute,5183.41,9344.21,0.555,4160.8,0.5,2591.7,2080.4,99.95,0,0,0,0.0002,1.063,0,0.0379,101.19,110.09,0.0692
2022-02-23,East US,Compute,5563.15,9344.21,0.595,3781.06,0.5,2781.57,1890.53,99.95,0,0,0,0.0002,1.078,0,0.038,101.21,110.09,0.069
2022-02-24,East US,Compute,4875.96,9344.21,0.522,4468.25,0.5,2437.98,2234.12,99.95,0,0,0,0.0002,1.035,0,0.0381,101.23,110.09,0.0688
2022-02-25,East US,Compute,4439.17,9344.21,0.475,4905.04,0.5,2219.58,2452.52,99.95,0,0,0,0.0002,0.965,0,0.0382,101.26,110.1,0.0685
2022-02-26,East US,Compute,4909.67,9344.21,0.525,4434.54,0.5,2454.83,2217.27,99.95,0,0,0,0.0002,0.922,0,0.0383,101.28,110.1,0.0683
2022-02-27,East US,Compute,4474.5,9344.21,0.479,4869.7,0.5,2237.25,2434.85,99.95,0,0,0,0.0002,0.937,0,0.0384,101.3,110.1,0.068
2022-02-28,East US,Compute,4575.54,9344.21,0.49,4768.66,0.5,2287.77,2384.33,99.95,0,0,0,0.0002,1.0,0,0.0385,101.32,110.1,0.0677
2022-03-01,East US,Compute,5682.92,9344.21,0.608,3661.28,0.5,2841.46,1830.64,99.95,0,0,0,0.0002,1.063,0,0.0386,101.35,110.1,0.0673
2022-03-02,East US,Compute,5056.51,9344.21,0.541,4287.7,0.5,2528.25,2143.85,99.95,0,0,0,0.0002,1.078,0,0.0387,101.37,110.1,0.067
2022-03-03,East US,Compute,5140.02,9344.21,0.55,4204.19,0.5,2570.01,2102.1,99.95,0,0,0,0.0002,1.035,0,0.0388,101.39,110.11,0.0666
2022-03-04,East US,Compute,4806.62,9344.21,0.514,4537.59,0.5,2403.31,2268.79,99.95,0,0,0,0.0002,0.965,0,0.0388,101.42,110.11,0.0662
2022-03-05,East US,Compute,4618.74,9344.21,0.494,4725.47,0.5,2309.37,2362.73,99.95,0,0,0,0.0002,0.922,0,0.0389,101.44,110.11,0.0658
2022-03-06,East US,Compute,4429.76,9344.21,0.474,4914.44,0.5,2214.88,2457.22,99.95,0,0,0,0.0002,0.937,0,0.039,101.46,110.11,0.0653
2022-03-07,East US,Compute,4817.56,9344.21,0.516,4526.65,0.5,2408.78,2263.32,99.95,0,0,0,0.0002,1.0,0,0.0391,101.48,110.11,0.0649
2022-03-08,East US,Compute,4895.32,9344.21,0.524,4448.89,0.5,2447.66,2224.44,99.95,0,0,0,0.0002,1.063,0,0.0391,101.51,110.11,0.0644
2022-03-09,East US,Compute,5420.89,9344.21,0.58,3923.32,0.5,2710.44,1961.66,99.95,0,0,0,0.0002,1.078,0,0.0392,101.53,110.12,0.0639
2022-03-10,East US,Compute,5408.54,9344.21,0.579,3935.66,0.5,2704.27,1967.83,99.95,0,0,0,0.0002,1.035,0,0.0393,101.55,110.12,0.0634
2022-03-11,East US,Compute,5050.54,9344.21,0.54,4293.67,0.5,2525.27,2146.83,99.95,0,0,0,0.0002,0.965,0,0.0393,101.58,110.12,0.0629
2022-03-12,East US,Compute,4197.03,9344.21,0.449,5147.17,0.5,2098.52,2573.59,99.95,0,0,0,0.0002,0.922,0,0.0394,101.6,110.12,0.0623
2022-03-13,East US,Compute,4938.94,9344.21,0.529,4405.27,0.5,2469.47,2202.63,99.95,0,0,0,0.0002,0.937,0,0.0395,101.62,110.12,0.0618
2022-03-14,East US,Compute,4892.38,9344.21,0.524,4451.83,0.5,2446.19,2225.91,99.95,0,0,0,0.0002,1.0,0,0.0395,101.64,110.13,0.0612
2022-03-15,East US,Compute,5034.55,9344.21,0.539,4309.66,0.5,2517.27,2154.83,99.95,0,0,0,0.0002,1.063,0,0.0396,101.67,110.13,0.0606
2022-03-16,East US,Compute,5394.42,9344.21,0.577,3949.79,0.5,2697.21,1974.89,99.95,0,0,0,0.0002,1.078,0,0.0396,101.69,110.13,0.06
2022-03-17,East US,Compute,5100.61,9344.21,0.546,4243.59,0.5,2550.31,2121.8,99.95,0,0,0,0.0002,1.035,0,0.0397,101.71,110.13,0.0594
2022-03-18,East US,Compute,4675.79,9344.21,0.5,4668.42,0.5,2337.9,2334.21,99.95,0,0,0,0.0002,0.965,0,0.0397,101.74,110.13,0.0588
2022-03-19,East US,Compute,4684.03,9344.21,0.501,4660.18,0.5,2342.01,2330.09,99.95,0,0,0,0.0002,0.922,0,0.0397,101.76,110.13,0.0581
2022-03-20,East US,Compute,4750.25,9344.21,0.508,4593.96,0.5,2375.12,2296.98,99.95,0,0,0,0.0002,0.937,0,0.0398,101.78,110.14,0.0575
2022-03-21,East US,Compute,5246.91,9344.21,0.562,4097.29,0.5,2623.46,2048.65,99.95,0,0,0,0.0002,1.0,0,0.0398,101.8,110.14,0.0568
2022-03-22,East US,Compute,4850.2,9344.21,0.519,4494.01,0.5,2425.1,2247.01,99.95,0,0,0,0.0002,1.063,0,0.0398,101.83,110.14,0.0562
2022-03-23,East US,Compute,5273.14,9344.21,0.564,4071.07,0.5,2636.57,2035.54,99.95,0,0,0,0.0002,1.078,0,0.0399,101.85,110.14,0.0555
2022-03-24,East US,Compute,4975.29,9344.21,0.532,4368.92,0.5,2487.65,2184.46,99.95,0,0,0,0.0002,1.035,0,0.0399,101.87,110.14,0.0548
2022-03-25,East US,Compute,4939.66,9344.21,0.529,4404.54,0.5,2469.83,2202.27,99.95,0,0,0,0.0002,0.965,0,0.0399,101.89,110.14,0.0542
2022-03-26,East US,Compute,4729.1,9344.21,0.506,4615.1,0.5,2364.55,2307.55,99.95,0,0,0,0.0002,0.922,0,0.0399,101.92,110.15,0.0535
2022-03-27,East US,Compute,4733.05,9344.21,0.507,4611.15,0.5,2366.53,2305.58,99.95,0,0,0,0.0002,0.937,0,0.04,101.94,110.15,0.0528
2022-03-28,East US,Compute,5323.24,9344.21,0.57,4020.97,0.5,2661.62,2010.48,99.463,1,1,114,0.0002,1.0,0,0.04,101.96,110.15,0.0521
2022-03-29,East US,Compute,5198.94,9344.21,0.556,4145.26,0.5,2599.47,2072.63,99.95,0,0,0,0.0002,1.063,0,0.04,101.99,110.15,0.0514
2022-03-30,east us,Compute,5457.88,9344.21,0.584,3886.33,0.5,2728.94,1943.17,99.95,0,0,0,0.0002,1.078,0,0.04,102.01,110.15,0.0507
2022-03-31,East US,Compute,5044.27,9344.21,0.54,4299.93,0.5,2522.14,2149.97,99.95,0,0,0,0.0002,1.035,0,0.04,102.03,110.15,0.05
2022-04-01,East US,Compute,4867.68,9344.21,0.521,4476.53,0.5,2433.84,2238.27,99.95,0,0,0,0.0002,0.965,0,0.04,102.05,110.16,0.0493
2022-04-02,East US,Compute,4607.24,9344.21,0.493,4736.97,0.5,2303.62,2368.48,99.95,0,0,0,0.0002,0.922,0,0.04,102.08,110.16,0.0486
2022-04-03,East US,Compute,4603.93,9344.21,0.493,4740.27,0.5,2301.97,2370.14,99.95,0,0,0,0.0002,0.937,0,0.04,102.1,110.16,0.0479
2022-04-04,East US,Compute,5132.45,9344.21,0.549,4211.76,0.5,2566.22,2105.88,99.95,0,0,0,0.0002,1.0,0,0.04,102.12,110.16,0.0472
2022-04-05,East US,Compute,4870.74,9344.21,0.521,4473.47,0.5,2435.37,2236.73,99.95,0,0,0,0.0002,1.063,0,0.04,102.15,110.16,0.0465
2022-04-06,East US,Compute,5220.0,9344.21,0.559,4124.2,0.5,2610.0,2062.1,99.95,0,0,0,0.0002,1.078,0,0.04,102.17,110.17,0.0458
2022-04-07,East US,Compute,4988.67,9344.21,0.534,4355.54,0.5,2494.33,2177.77,99.95,0,0,0,0.0002,1.035,0,0.04,102.19,110.17,0.0452
2022-04-08,East US,Compute,4423.27,9344.21,0.473,4920.93,0.5,2211.64,2460.47,99.95,0,0,0,0.0002,0.965,0,0.0399,102.21,110.17,0.0445
2022-04-09,East US,Compute,4323.14,9344.21,0.463,5021.06,0.5,2161.57,2510.53,99.95,0,0,0,0.0002,0.922,0,0.0399,102.24,110.17,0.0438
2022-04-10,East US,Compute,4257.72,9344.21,0.456,5086.49,0.5,2128.86,2543.24,99.95,0,0,0,0.0002,0.937,0,0.0399,102.26,110.17,0.0432
2022-04-11,East US,Compute,4832.35,9344.21,0.517,4511.85,0.5,2416.18,2255.93,99.95,0,0,0,0.0002,1.0,0,0.0399,102.28,110.17,0.0425
2022-04-12,East US,Compute,5136.83,9344.21,0.55,4207.38,0.5,2568.41,2103.69,99.95,0,0,0,0.0002,1.063,0,0.0398,102.31,110.18,0.0419
2022-04-13,East US,Compute,5139.84,9344.21,0.55,4204.36,0.5,2569.92,2102.18,99.95,0,0,0,0.0002,1.078,0,0.0398,102.33,110.18,0.0412
2022-04-14,East US,Compute,5239.32,9344.21,0.561,4104.89,0.5,2619.66,2052.45,99.95,0,0,0,0.0002,1.035,0,0.0398,102.35,110.18,0.0406
2022-04-15,East US,Compute,4958.11,9344.21,0.531,4386.1,0.5,2479.05,2193.05,99.95,0,0,0,0.0002,0.965,0,0.0397,102.37,110.18,0.04
2022-04-16,East US,Compute,5002.24,9344.21,0.535,4341.96,0.5,2501.12,2170.98,99.95,0,0,0,0.0002,0.922,0,0.0397,102.4,110.18,0.0394
2022-04-17,East US,Compute,4983.79,9344.21,0.533,4360.42,0.5,2491.89,2180.21,99.95,0,0,0,0.0002,0.937,0,0.0396,102.42,110.18,0.0388
2022-04-18,East US,Compute,4999.41,9344.21,0.535,4344.8,0.5,2499.7,2172.4,99.95,0,0,0,0.0002,1.0,0,0.0396,102.44,110.19,0.0382
2022-04-19,East US,Compute,5255.94,9344.21,0.562,4088.27,0.5,2627.97,2044.13,99.95,0,0,0,0.0002,1.063,0,0.0395,102.47,110.19,0.0377
2022-04-20,East US,Compute,5003.04,9344.21,0.535,4341.17,0.5,2501.52,2170.58,99.95,0,0,0,0.0002,1.078,0,0.0395,102.49,110.19,0.0371
2022-04-21,east us,Compute,5311.04,9344.21,0.568,4033.17,0.5,2655.52,2016.58,99.95,0,0,0,0.0002,1.035,0,0.0394,102.51,110.19,0.0366
2022-04-22,East US,Compute,4709.2,9344.21,0.504,4635.01,0.5,2354.6,2317.5,99.95,0,0,0,0.0002,0.965,0,0.0394,102.53,110.19,0.0361
2022-04-23,East US,Compute,4593.61,9344.21,0.492,4750.6,0.5,2296.8,2375.3,99.95,0,0,0,0.0002,0.922,0,0.0393,102.56,110.2,0.0356
2022-04-24,East US,Compute,5417.28,9344.21,0.58,3926.92,0.5,2708.64,1963.46,99.95,0,0,0,0.0002,0.937,0,0.0392,102.58,110.2,0.0351
2022-04-25,East US,Compute,5235.8,9344.21,0.56,4108.41,0.5,2617.9,2054.2,99.95,0,0,0,0.0002,1.0,0,0.0392,102.6,110.2,0.0347
2022-04-26,East US,Compute,4691.43,9344.21,0.502,4652.77,0.5,2345.72,2326.39,99.95,0,0,0,0.0002,1.063,0,0.0391,102.63,110.2,0.0342
2022-04-27,East US,Compute,5726.24,9344.21,0.613,3617.97,0.5,2863.12,1808.99,99.95,0,0,0,0.0002,1.078,0,0.039,102.65,110.2,0.0338
2022-04-28,East US,Compute,5443.05,9344.21,0.583,3901.16,0.5,2721.53,1950.58,99.95,0,0,0,0.0002,1.035,0,0.039,102.67,110.2,0.0334
2022-04-29,East US,Compute,4664.07,9344.21,0.499,4680.14,0.5,2332.03,2340.07,99.95,0,0,0,0.0002,0.965,0,0.0389,102.69,110.21,0.033
