timestamp,region,service_type,usage_units,forecast
2024-01-01,Australia East,Compute,4547.78,4744.2383
2024-01-01,UK South,Storage,3409.96,3354.3955
2024-01-01,France Central,Compute,4417.92,4421.164
2024-01-01,East US 2,Storage,3190.25,2981.5684
2024-01-01,UK West,Compute,5142.95,5720.5234
2024-01-01,East US 2,Compute,3789.61,3983.0532
2024-01-01,East US,Storage,3799.63,4014.3242
2024-01-01,UK West,Storage,4475.87,4172.2236
2024-01-01,East US,Compute,6014.62,5692.402
2024-01-01,West Europe,Compute,4010.24,4407.9414
2024-01-01,East Asia,Storage,4094.16,4096.234
2024-01-01,East Asia,Compute,5548.28,5541.5444
2024-01-01,West Europe,Storage,3246.5,3330.577
2024-01-01,Central US,Storage,3614.93,3556.5403
2024-01-01,Central US,Compute,4701.43,4805.4683
2024-01-01,West US,Compute,4646.32,4888.2256
2024-01-01,Canada East,Storage,3927.35,3831.6084
2024-01-01,West US,Storage,3442.68,3591.708
2024-01-01,Canada East,Compute,5224.23,5060.032
2024-01-01,Canada Central,Storage,3382.39,3257.4019
2024-01-01,West US 2,Compute,5181.03,5385.5146
2024-01-01,Canada Central,Compute,4169.25,4359.151
2024-01-01,Brazil South,Storage,2945.58,2757.2634
2024-01-01,West US 2,Storage,3899.14,4018.4104
2024-01-01,Brazil South,Compute,3730.66,3754.158
2024-01-01,West US 3,Compute,5253.74,5073.286
2024-01-01,Australia Southeast,Storage,4485.44,4329.675
2024-01-01,Australia Southeast,Compute,5613.74,5641.0366
2024-01-01,France Central,Storage,3278.8,3445.8577
2024-01-01,Germany West Central,Compute,4989.09,4852.7275
2024-01-01,Germany West Central,Storage,3548.84,3615.128
2024-01-01,UAE North,Storage,4514.52,4309.261
2024-01-01,North Europe,Storage,2939.34,2987.1953
2024-01-01,North Europe,Compute,4098.03,3964.7192
2024-01-01,Norway East,Storage,3235.17,3144.6853
2024-01-01,North Central US,Storage,3289.02,3620.71
2024-01-01,South Africa North,Compute,4001.29,3960.083
2024-01-01,North Central US,Compute,4900.39,4920.5786
2024-01-01,Korea South,Storage,3412.82,3521.981
2024-01-01,South Africa North,Storage,3243.83,3049.4414
2024-01-01,Korea South,Compute,4535.76,4684.2236
2024-01-01,Korea Central,Storage,4034.75,3969.837
2024-01-01,South Central US,Compute,4867.36,4715.7554
2024-01-01,Korea Central,Compute,4826.16,5176.267
2024-01-01,South Central US,Storage,3522.4,3510.3728
2024-01-01,West US 3,Storage,3704.39,3756.0671
2024-01-01,Japan West,Storage,2926.68,3036.2407
2024-01-01,Southeast Asia,Compute,4294.25,4657.2524
2024-01-01,Japan East,Storage,3133.27,3092.2544
2024-01-01,Japan East,Compute,3738.96,4037.8203
2024-01-01,Southeast Asia,Storage,3804.35,3565.479
2024-01-01,India West,Storage,3372.37,3177.719
2024-01-01,Switzerland North,Compute,4592.21,4335.535
2024-01-01,India West,Compute,4091.66,4099.874
2024-01-01,India South,Storage,4025.95,4157.3276
2024-01-01,Switzerland North,Storage,3220.65,3223.5256
2024-01-01,India South,Compute,5744.75,5680.607
2024-01-01,India Central,Storage,3973.1,3940.2793
2024-01-01,UAE North,Compute,6187.35,5779.363
2024-01-01,India Central,Compute,5254.38,5392.374
2024-01-01,Japan West,Compute,4204.57,4079.221
2024-01-01,Australia East,Storage,3433.69,3610.5027
2024-01-01,UK South,Compute,5003.15,4553.5806
2024-01-01,Norway East,Compute,4074.07,4151.336
2024-01-02,UK West,Compute,6019.84,6192.9087
2024-01-02,Switzerland North,Storage,3352.52,3314.8123
2024-01-02,West US 3,Compute,5338.72,5380.682
2024-01-02,Canada East,Storage,4263.28,4183.6367
2024-01-02,Japan West,Compute,4362.61,4351.734
2024-01-02,Southeast Asia,Compute,5162.18,5081.5967
2024-01-02,India South,Storage,4567.97,4567.857
2024-01-02,Australia Southeast,Storage,4550.1,4559.436
2024-01-02,Brazil South,Compute,3922.02,3953.0583
2024-01-02,Australia Southeast,Compute,6482.81,6336.0435
2024-01-02,Canada Central,Storage,3604.73,3553.083
2024-01-02,South Africa North,Storage,3279.5,3195.4277
